Bit_Score,Nb genes,Nb reactions
0,6691,1169
10,6691,1169
20,6691,1169
30,6659,1169
40,5645,1167
50,5309,1167
60,5063,1167
70,4850,1167
80,4636,1163
90,4471,1159
100,4318,1159
110,4145,1159
120,4032,1159
130,3939,1158
140,3847,1158
150,3769,1158
160,3645,1158
170,3510,1157
180,3378,1156
190,3250,1154
200,3129,1153
210,3006,1152
220,2875,1152
230,2765,1148
240,2683,1146
250,2589,1146
260,2517,1144
270,2459,1137
280,2405,1094
290,2360,1092
300,2313,1077
310,2256,1068
320,2213,1061
330,2160,1054
340,2099,1050
350,2048,1037
360,1993,1033
370,1941,1028
380,1856,1012
390,1803,997
400,1747,990
410,1689,981
420,1632,963
430,1569,947
440,1504,930
450,1453,920
460,1401,912
470,1354,897
480,1307,889
490,1272,865
500,1227,849
510,1202,834
520,1170,825
530,1140,814
540,1115,807
550,1077,778
560,1053,765
570,1027,756
580,994,746
590,963,732
600,934,713
610,909,705
620,874,677
630,840,665
640,811,638
650,785,621
660,764,614
670,745,605
680,727,583
690,707,558
700,684,539
710,663,531
720,642,524
730,616,507
740,590,494
750,571,478
760,545,463
770,530,445
780,519,438
790,499,423
800,481,410
810,463,392
820,445,365
830,436,361
840,425,342
850,415,340
860,402,312
870,389,302
880,368,278
890,357,272
900,347,268
910,328,256
920,316,253
930,303,241
940,296,240
950,280,225
960,266,223
970,260,219
980,254,211
990,247,208
1000,240,204
