Score,Nb genes,Nb reactions
0,1192,945
50,1192,945
100,1192,945
150,1192,945
200,1192,945
250,1192,945
300,1192,945
350,1192,945
400,1192,945
450,1192,945
500,1192,945
550,1192,945
600,1192,945
650,1192,945
700,1192,945
750,1191,943
800,1172,936
850,1135,926
900,1105,918
950,1069,892
1000,1027,856
1050,987,841
1100,940,807
1150,906,786
1200,875,758
1250,829,729
1300,804,719
1350,771,705
1400,739,684
1450,705,660
1500,670,637
1550,650,625
1600,616,599
1650,579,573
1700,553,563
1750,514,518
1800,480,473
1850,452,464
1900,427,425
1950,401,408
2000,379,387
2050,355,363
2100,326,325
2150,304,298
2200,282,242
2250,258,231
2300,242,227
2350,221,209
2400,207,194
2450,195,175
2500,187,169
2550,176,163
2600,170,157
2650,161,152
2700,156,149
2750,150,144
2800,140,136
2850,140,136
2900,135,135
2950,130,124
3000,126,121
3050,120,119
3100,115,112
3150,111,111
3200,104,101
3250,97,99
3300,95,97
3350,89,95
3400,84,91
3450,80,90
3500,76,87
3550,76,87
3600,72,84
3650,70,84
3700,66,82
3750,63,77
3800,62,73
3850,59,66
3900,57,65
3950,57,65
4000,56,64
4050,54,61
4100,52,59
4150,50,58
4200,46,51
4250,45,51
4300,42,48
4350,41,47
4400,40,46
4450,38,46
4500,35,45
4550,33,45
4600,29,43
4650,28,42
4700,28,42
4750,27,42
4800,25,42
4850,22,41
4900,22,41
4950,21,38
5000,20,38
