EValue (1e-x),Nb genes,Nb reactions
1,327,390
2,327,390
3,327,390
4,327,390
5,327,390
6,327,390
7,327,390
8,327,390
9,327,390
10,327,390
11,327,390
12,327,390
13,327,390
14,327,390
15,327,390
16,327,390
17,327,390
18,327,390
19,327,390
20,327,390
21,327,390
22,327,390
23,327,390
24,327,390
25,327,390
26,327,390
27,327,390
28,327,390
29,327,390
30,327,390
31,327,390
32,327,390
33,327,390
34,327,390
35,327,390
36,327,390
37,325,390
38,324,390
39,324,390
40,324,390
41,324,390
42,324,390
43,324,390
44,324,390
45,324,390
46,324,390
47,324,390
48,324,390
49,322,389
50,321,388
51,321,388
52,321,388
53,321,388
54,321,388
55,321,388
56,321,388
57,321,388
58,321,388
59,321,388
60,320,388
61,320,388
62,320,388
63,320,388
64,320,388
65,319,387
66,319,387
67,318,387
68,318,387
69,318,387
70,318,387
71,318,387
72,318,387
73,318,387
74,318,387
75,318,387
76,318,387
77,318,387
78,318,387
79,317,387
80,316,387
81,316,387
82,316,387
83,316,387
84,316,387
85,316,387
86,316,387
87,316,387
88,314,385
89,314,385
90,314,385
91,314,385
92,314,385
93,313,385
94,313,385
95,313,385
96,313,385
97,313,385
98,313,385
99,313,385
100,313,385
